code,species,genus,family,order,suborder,common name,,,
splu,eumicrotremus orbis,eumicrotremus,cyclopteridae,scorpaeniformes,cottoidei,spiny lumpsucker,,,
spsa,citharichthys stigmaeus,citharichthys,paralichthyidae,pleuronectiformes,pleuronectoidei,speckled sanddab,,,
spsc,radulinus taylori,radulinus,cottidae,scorpaeniformes,cottoidei,spinynose sculpin,,,
spsn,liparis callyodon,liparis,liparidae,scorpaeniformes,cottoidei,spotted snailfish,,,
spso,sebastes diploproa,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,splitnose rockfish,,,
stee,oncorhynchus mykiss,oncorhynchus,salmonidae,salmoniformes,salmonoidei,steelhead,,,
stfl,platichthys stellatus,platichthys,pleuronectidae,pleuronectiformes,pleuronectoidei,starry flounder,,,
stke,gibbonsia metzi,gibbonsia,clinidae,perciformes,n-a,striped kelpfish,,,
stpe,embiotoca lateralis,embiotoca,embiotocidae,perciformes,labroidei,striped seaperch,,,
stop,podothecus accipenserinus,agonus,agonidae,scorpaeniformes,cottoidei,sturgeon poacher,,,
stsc,leptocottus armatus,leptocottus,cottidae,scorpaeniformes,cottoidei,staghorn sculpin,,,
stsk,raja stellulata,raja,rajidae,rajiformes,rajoidei,starry skate,,,
susm,hypomesus pretiosus,hypomesus,osmeridae,osmeriformes,osmeroidei,surf smelt,,,
tasc,psychrolutes paradoxus,psychrolutes,psychrolutidae,scorpaeniformes,cottoidei,tadpole sculpin,,,
thst,gasterosteus aculeatus,gasterosteus,gasterosteidae,gasterosteiformes,gasterosteoidei,threespine stickleback,,,
tiro,sebastes nigrocinctus,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,tiger rockfish,,,
