kingdom,phylum,class,order,family,genus,species,in_range,old_species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,subspecies,subspecies_id,form,form_id,ids
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,y,Oncorhynchus mykiss,1,44,204,1313,8615,2351426,5204019,NA,NA,NA,NA,Oncorhynchus mykiss
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,y,Oncorhynchus tshawytscha,1,44,204,1313,8615,2351426,5204024,NA,NA,NA,NA,Oncorhynchus tshawytscha
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,y,Ophiodon elongatus,1,44,204,590,8626,2336520,2336521,NA,NA,NA,NA,Ophiodon elongatus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,Oxylebius pictus,y,Oxylebius pictus,1,44,204,590,8626,2336509,2336510,NA,NA,NA,NA,Oxylebius pictus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,y,Parophrys vetulus,1,44,204,588,8611,2409369,2409370,NA,NA,NA,NA,Parophrys vetulus
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis clemensi,y,Pholis clemensi,1,44,204,587,8576,2390397,5210431,NA,NA,NA,NA,Pholis clemensi
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis crassispina,n,Pholis crassispina,1,44,204,587,8576,2390397,5210429,NA,NA,NA,NA,Pholis crassispina
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis laeta,y,Pholis laeta,1,44,204,587,8576,2390397,5210424,NA,NA,NA,NA,Pholis laeta
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis picta,n,Pholis picta,1,44,204,587,8576,2390397,5210418,NA,NA,NA,NA,Pholis picta
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,y,Phytichthys chirus,1,44,204,587,8598,2394820,2394821,NA,NA,NA,NA,Phytichthys chirus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys flesus,n,Platichthys flesus,1,44,204,588,8611,2409326,2409330,NA,NA,NA,NA,Platichthys flesus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,y,Platichthys stellatus,1,44,204,588,8611,2409326,2409327,NA,NA,NA,NA,Platichthys stellatus
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys coenosus,y,Pleuronichthys coenosus,1,44,204,588,8611,2409240,2409249,NA,NA,NA,NA,Pleuronichthys coenosus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Polypera,Polypera greeni,y,Polypera greeni,1,44,204,590,8627,2336110,5201440,NA,NA,NA,NA,Polypera greeni
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,y,Psettichthys melanostictus,1,44,204,588,8611,2408960,2409051,NA,NA,NA,NA,Psettichthys melanostictus
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,Rhacochilus vacca,y,Rhacochilus vacca,1,44,204,587,4269,2389312,2389313,NA,NA,NA,NA,Rhacochilus vacca
Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Rimicola,Rimicola muscarum,y,Rimicola muscarum,1,44,204,1163,7668,2411603,5214482,NA,NA,NA,NA,Rimicola muscarum
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus albus,n,Salvelinus albus,1,44,204,1313,8615,2351241,2351278,NA,NA,NA,NA,Salvelinus albus
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus kuznetzovi,n,Salvelinus kuznetzovi,1,44,204,1313,8615,2351241,2351257,NA,NA,NA,NA,Salvelinus kuznetzovi
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus malma,y,Salvelinus malma,1,44,204,1313,8615,2351241,4284020,NA,NA,NA,NA,Salvelinus malma
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,y,Scorpaenichthys marmoratus,1,44,204,590,8621,2334338,5201222,NA,NA,NA,NA,Scorpaenichthys marmoratus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,y,Sebastes alutus,1,44,204,590,8633,2333712,2335557,NA,NA,NA,NA,Sebastes alutus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes baramenuke,n,Sebastes baramenuke,1,44,204,590,8633,2333712,2335483,NA,NA,NA,NA,Sebastes baramenuke
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,y,Sebastes caurinus,1,44,204,590,8633,2333712,2335455,NA,NA,NA,NA,Sebastes caurinus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes cheni,n,Sebastes cheni,1,44,204,590,8633,2333712,4286373,NA,NA,NA,NA,Sebastes cheni
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,y,Sebastes entomelas,1,44,204,590,8633,2333712,2335516,NA,NA,NA,NA,Sebastes entomelas
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes joyneri,n,Sebastes joyneri,1,44,204,590,8633,2333712,2335451,NA,NA,NA,NA,Sebastes joyneri
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes maliger,y,Sebastes maliger,1,44,204,590,8633,2333712,2335438,NA,NA,NA,NA,Sebastes maliger
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nebulosus,y,Sebastes nebulosus,1,44,204,590,8633,2333712,2335508,NA,NA,NA,NA,Sebastes nebulosus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pachycephalus,n,Sebastes pachycephalus,1,44,204,590,8633,2333712,4286366,NA,NA,NA,NA,Sebastes pachycephalus
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Synchirus,Synchirus gilli,y,Synchirus gilli,1,44,204,590,8621,2334297,2334298,NA,NA,NA,NA,Synchirus gilli
Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus leptorhynchus,y,Syngnathus leptorhynchus,1,44,204,773,5901,2332887,2332938,NA,NA,NA,NA,Syngnathus leptorhynchus
Animalia,Chordata,Actinopterygii,Perciformes,Trichodontidae,Trichodon,Trichodon trichodon,y,Trichodon trichodon,1,44,204,587,5075,7598749,5210437,NA,NA,NA,NA,Trichodon trichodon
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus,y,Xiphister atropurpureus,1,44,204,587,8598,2394808,2394813,NA,NA,NA,NA,Xiphister atropurpureus
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Xiphister,Xiphister mucosus,y,Xiphister mucosus,1,44,204,587,8598,2394808,2394809,NA,NA,NA,NA,Xiphister mucosus
