"","psi","p11","p10","PoO.0","PoO.1","PoO.2","PoO.3"
"ASV560",0.304650940334006,0.18696450838086,0.0198704286884812,0.200050727436839,0.739354997467165,0.969857558864646,0.997267524855342
"ASV562",0.270038279110479,0.19566638747124,0.0184996507114005,0.169154254019606,0.724340342725424,0.971358026919633,0.997720573527018
"ASV563",0.284741598708003,0.193662578863742,0.0192066005513531,0.181140371497323,0.730681407106686,0.970824188584522,0.997555649043744
"ASV564",0.264133879108951,0.20356738891179,0.0184095805666689,0.160881083799069,0.723216007425879,0.972685100043692,0.997943693726737
"ASV565",0.254961953224788,0.210439000889104,0.0180861336840836,0.15104858088927,0.720244821730866,0.973858784584615,0.998148359431661
"ASV566",0.287398950810306,0.184309042790213,0.0195996536673575,0.188493824126137,0.724161868553751,0.967397743149413,0.997027146395605
"ASV568",0.272224375465417,0.193710859677981,0.0190302981766582,0.171979356058295,0.720062128063871,0.969563494831938,0.997471599262985
"ASV570",0.23247300659159,0.235143630965404,0.0175324699425707,0.125040794095512,0.711151660821793,0.976966554541076,0.99863335146272
"ASV571",0.291825194035865,0.180192325015059,0.0193365764876025,0.194032992673245,0.728528825972296,0.967653150024977,0.99701016539179
"ASV572",0.264273486051094,0.204230404279115,0.0182702082463615,0.16058346369235,0.725137479830705,0.973249144592726,0.998010850713451
"ASV574",0.300904313236793,0.183291574620964,0.0197200646454673,0.199301869400812,0.735232402142853,0.968730152091021,0.997114965966541
"ASV575",0.26637454500111,0.192720348079542,0.018324007219798,0.167999961506283,0.720863828952268,0.970612838967718,0.997638252781404
"ASV576",0.334754623752968,0.174211749740338,0.0251435987847208,0.234223682710625,0.714431750311479,0.953408546399249,0.994060932350103
"ASV578",0.261310294026692,0.208256933132445,0.0183541872682738,0.156546684228031,0.723073386755435,0.973497769999179,0.998068596609821
"ASV580",0.236160956068769,0.226842312455909,0.0177350800831674,0.131019151511842,0.710149648563734,0.975498146674854,0.998456700359061
"ASV581",0.133405672540534,0.404662961901171,0.0125807488182366,0.032638572641253,0.642854784324196,0.989693598306108,0.999804837718868
"ASV586",0.272579122860255,0.192755179829007,0.0185744896850016,0.172542569810229,0.724580448349889,0.970753370673521,0.997617736299844
"ASV587",0.270658915122566,0.197947045517388,0.018649727435592,0.168464836142488,0.724596227677175,0.971565324095716,0.99775145746285
"ASV588",0.269256838589385,0.201305131362283,0.018203112886217,0.165534365632413,0.729487107427058,0.973445861803373,0.997997373923776
"ASV590",0.252735638190868,0.211526366149878,0.0181235170220658,0.149036925175814,0.717953162334328,0.973682137522474,0.998143757150784
"ASV592",0.300104438666216,0.175737107692224,0.0194068921017828,0.20297474299788,0.732868290209196,0.967272139103024,0.996869047475006
"ASV593",0.259739643414322,0.202854241522173,0.0182575303649903,0.158131530605935,0.719907923793113,0.972353129083533,0.99792643051289
"ASV594",0.275652372797673,0.179493741910718,0.0187081262863031,0.181982070687833,0.718524556310132,0.96698705749822,0.997033543251758
"ASV596",0.316732420355124,0.161340898844119,0.0246306226941958,0.227608402097558,0.6918272751776,0.944758604430787,0.992383236472705
"ASV600",0.264183643459855,0.192175384542746,0.0183650291416467,0.166733092267429,0.717860771214879,0.970017774258705,0.99757511744402
"ASV601",0.294776171033873,0.192014644520739,0.0194104330715346,0.189520464411644,0.73735030559694,0.971184776330622,0.997534725714638
"ASV602",0.262079644068599,0.193439183199458,0.0175687501341171,0.164249892899367,0.724950404545946,0.972488235929391,0.997895008722608
"ASV603",0.309109130832015,0.172661988348551,0.0244405099577653,0.214387099235176,0.694493287626652,0.949841275101749,0.993700678388203
"ASV604",0.266167847704465,0.213787426137837,0.0187157418180156,0.157220227411836,0.726749728655168,0.974305456947672,0.998153653512583
"ASV605",0.304232460289045,0.172843091509699,0.0192361033028793,0.207800369082199,0.736469184108538,0.967504854501422,0.996857416085594
"ASV606",0.303312990702018,0.176732773614116,0.0193174643996068,0.204813827974083,0.737327151269402,0.968345835179715,0.997009491260688
"ASV607",0.275650649526419,0.189312650433907,0.0186095775137281,0.176622049553854,0.725400096536505,0.970177607863853,0.997510128109109
"ASV610",0.248826867689157,0.219748779619807,0.0182723782573171,0.142586351868544,0.715616295387064,0.974409541606301,0.998267411281085
"ASV614",0.331180015997561,0.16546350440832,0.0297548964187159,0.239600754460868,0.670745681460038,0.9294314706094,0.988392380037714
"ASV617",0.297436817239056,0.178152616808121,0.0192299226556645,0.199426348920206,0.733621078641737,0.968201750028576,0.997038181465085
"ASV619",0.282584751946234,0.196361471576519,0.0190194003987162,0.178010420543215,0.731847272529441,0.971747551662021,0.997698331603211
"ASV620",0.254581264809977,0.204595992968581,0.0181647842583368,0.153677273740536,0.716279289053079,0.972299289787989,0.99795504289605
"ASV621",0.263402230576347,0.194070823998037,0.0182581050275201,0.165155582361614,0.719218660498196,0.970731437417661,0.997676796911592
"ASV623",0.272320483031016,0.201979962963751,0.0186024600816237,0.167505163690499,0.72875314345657,0.97288092420987,0.997916754582995
"ASV625",0.285322422891546,0.199072594702939,0.0190928480169023,0.178530678362294,0.735114594516456,0.972556326724841,0.997795077518953
"ASV627",0.242137327657099,0.202533119134927,0.0174248149936623,0.14589002928676,0.709825727195402,0.972247445270682,0.998010791150025
"ASV628",0.253855231286785,0.199931900566861,0.0184189471760661,0.155570963255442,0.710436707393166,0.970303238571147,0.997707083916999
"ASV629",0.233778980821247,0.224692231788376,0.0173054321474858,0.130311271164861,0.711471206338693,0.975950308596548,0.998504859670503
"ASV630",0.260180606017951,0.188768347727029,0.0178712509931875,0.165406825917808,0.717067104755792,0.970068512848867,0.997592969959239
"ASV631",0.255137253177695,0.218950751391303,0.0181732141435566,0.147075068350262,0.723111063323071,0.975340420474601,0.998333390365857
"ASV632",0.256065977024908,0.216293139838575,0.018175558141512,0.14897669565693,0.722978573062466,0.974942836412285,0.998279044935647
"ASV633",0.25132846834084,0.209329274430759,0.0180605435422483,0.149124566601199,0.716129552219755,0.973199538189867,0.998090489295844
"ASV638",0.27748020913572,0.190808156866032,0.0190102211138592,0.177325550441417,0.723970817571048,0.969618305650041,0.997431547548132
"ASV640",0.277208561500341,0.195023568112093,0.0184621824996958,0.174614020266445,0.731536139063092,0.972297356029859,0.997792836186696
"ASV642",0.246219314684011,0.224402316206068,0.0179978821145736,0.13862501484866,0.717559619774028,0.975672853818045,0.998423043601309
"ASV643",0.304319324886944,0.187989816022031,0.0196643672158332,0.199095112564516,0.741542679621926,0.970686739819118,0.997390348420317
"ASV646",0.2644579937776,0.206997866436977,0.0187807628518058,0.159515791173193,0.721318283022595,0.972451056325847,0.997927036529817
"ASV647",0.263427676006968,0.199953539780725,0.0180849858104457,0.16209346412397,0.724142638882951,0.972693450132568,0.997935458217255
"ASV649",0.288579905330339,0.180733025532435,0.019083366230997,0.191154875119848,0.728249202746069,0.96814042494016,0.997106297371465
"ASV650",0.261011368618683,0.19249479494811,0.0183700420021315,0.164308563187634,0.71465471417742,0.969607997713793,0.997545378859624
"ASV652",0.254554226295131,0.206451423853776,0.0179072845272365,0.152648022740173,0.719916432586574,0.973456691416931,0.998092598433557
