kingdom,phylum,order,family,genus,species,in_range,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,subspecies,subspecies_id,form,form_id,ids
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta polyxystra,y,Lepidopsetta polyxystra,1,44,588,8611,5213905,5213938,NA,NA,NA,NA,NA,NA,Lepidopsetta polyxystra
Animalia,Chordata,Scorpaeniformes,Cottidae,Leptocottus,Leptocottus armatus,y,Leptocottus armatus,1,44,590,8621,2333922,2333923,NA,NA,NA,NA,NA,NA,Leptocottus armatus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Limanda,Limanda sakhalinensis,n,Limanda sakhalinensis,1,44,588,8611,5213949,5213969,NA,NA,NA,NA,NA,NA,Limanda sakhalinensis
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis cyclopus,y,Liparis cyclopus,1,44,590,8627,2335959,5201449,NA,NA,NA,NA,NA,NA,Liparis cyclopus
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis florae,y,Liparis florae,1,44,590,8627,2335959,5201520,NA,NA,NA,NA,NA,NA,Liparis florae
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis fucensis,y,Liparis fucensis,1,44,590,8627,2335959,5201508,NA,NA,NA,NA,NA,NA,Liparis fucensis
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis mucosus,y,Liparis mucosus,1,44,590,8627,2335959,5201509,NA,NA,NA,NA,NA,NA,Liparis mucosus
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis pulchellus,y,Liparis pulchellus,1,44,590,8627,2335959,5201510,NA,NA,NA,NA,NA,NA,Liparis pulchellus
Animalia,Chordata,Perciformes,Stichaeidae,Lumpenus,Lumpenus sagitta,y,Lumpenus sagitta,1,44,587,8598,5211320,5211330,NA,NA,NA,NA,NA,NA,Lumpenus sagitta
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Lyopsetta,Lyopsetta exilis,y,Lyopsetta exilis,1,44,588,8611,2409225,2409226,NA,NA,NA,NA,NA,NA,Lyopsetta exilis
Animalia,Chordata,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,y,Merluccius productus,1,44,549,3703,2415629,2415676,NA,NA,NA,NA,NA,NA,Merluccius productus
Animalia,Chordata,Gadiformes,Gadidae,Microgadus,Microgadus proximus,y,Microgadus proximus,1,44,549,3701,2415887,2415888,NA,NA,NA,NA,NA,NA,Microgadus proximus
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,y,Microstomus pacificus,1,44,588,8611,2409352,5214028,NA,NA,NA,NA,NA,NA,Microstomus pacificus
Animalia,Chordata,Tetraodontiformes,Molidae,Mola,Mola mola,y,Mola mola,1,44,772,5897,5207570,5213725,NA,NA,NA,NA,NA,NA,Mola mola
Animalia,Chordata,Tetraodontiformes,Molidae,Mola,Mola mola,y,Mola sp. MANBOU,1,44,772,5897,5207570,NA,NA,NA,NA,NA,NA,NA,Mola sp. MANBOU
Animalia,Chordata,Tetraodontiformes,Molidae,Mola,Mola mola,y,Mola sp. B,1,44,772,5897,5207570,NA,NA,NA,NA,NA,NA,NA,Mola sp. B
Animalia,Chordata,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus jaok,n,Myoxocephalus jaok,1,44,590,8621,2333775,2333814,NA,NA,NA,NA,NA,NA,Myoxocephalus jaok
Animalia,Chordata,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus polyacanthocephalus,y,Myoxocephalus polyacanthocephalus,1,44,590,8621,2333775,2333818,NA,NA,NA,NA,NA,NA,Myoxocephalus polyacanthocephalus
Animalia,Chordata,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus stelleri,y,Myoxocephalus stelleri,1,44,590,8621,2333775,2333807,NA,NA,NA,NA,NA,NA,Myoxocephalus stelleri
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Myzopsetta,Myzopsetta ferruginea,n,Myzopsetta ferruginea,1,44,588,8611,5213949,5213953,NA,NA,NA,NA,NA,NA,Myzopsetta ferruginea
Animalia,Chordata,Scorpaeniformes,Hemitripteridae,Nautichthys,Nautichthys oculofasciatus,y,Nautichthys oculofasciatus,1,44,590,5097,2335120,2335124,NA,NA,NA,NA,NA,NA,Nautichthys oculofasciatus
Animalia,Chordata,Scorpaeniformes,Agonidae,Odontopyxis,Odontopyxis trispinosa,y,Odontopyxis trispinosa,1,44,590,8617,2337271,2337272,NA,NA,NA,NA,NA,NA,Odontopyxis trispinosa
Animalia,Chordata,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus maculosus,y,Oligocottus maculosus,1,44,590,8621,2333736,2333746,NA,NA,NA,NA,NA,NA,Oligocottus maculosus
Animalia,Chordata,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus snyderi,y,Oligocottus snyderi,1,44,590,8621,2333736,2333742,NA,NA,NA,NA,NA,NA,Oligocottus snyderi
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus apache,n,Oncorhynchus gilae apache,1,44,1313,8615,2351426,5204012,NA,NA,Oncorhynchus gilae apache,5204013,NA,NA,Oncorhynchus gilae apache
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,y,Oncorhynchus clarkii lewisi,1,44,1313,8615,2351426,5711980,NA,NA,Oncorhynchus clarkii lewisi,5711983,NA,NA,Oncorhynchus clarkii lewisi
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,y,Oncorhynchus clarkii,1,44,1313,8615,2351426,5711980,NA,NA,NA,NA,NA,NA,Oncorhynchus clarkii
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gilae,n,Oncorhynchus gilae,1,44,1313,8615,2351426,5204032,NA,NA,NA,NA,NA,NA,Oncorhynchus gilae
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,y,Oncorhynchus gorbuscha,1,44,1313,8615,2351426,5204037,NA,NA,NA,NA,NA,NA,Oncorhynchus gorbuscha
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,y,Oncorhynchus keta,1,44,1313,8615,2351426,5204014,NA,NA,NA,NA,NA,NA,Oncorhynchus keta
