level,LCT,order,family,genus,species,all_species
species,Oncorhynchus keta,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,Oncorhynchus keta
species,Oncorhynchus kisutch,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,Oncorhynchus kisutch
species,Oncorhynchus mykiss,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Oncorhynchus mykiss
species,Oncorhynchus nerka,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,Oncorhynchus nerka
species,Oncorhynchus tshawytscha,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,Oncorhynchus tshawytscha
species,Ophiodon elongatus,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,Ophiodon elongatus
species,Orthonopias triacis,Scorpaeniformes,Cottidae,Orthonopias,Orthonopias triacis,Orthonopias triacis
species,Oxylebius pictus,Scorpaeniformes,Hexagrammidae,Oxylebius,Oxylebius pictus,Oxylebius pictus
species,Phytichthys chirus,Perciformes,Stichaeidae,Phytichthys,Phytichthys chirus,Phytichthys chirus
species,Platichthys stellatus,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus,Platichthys stellatus
species,Pleuronichthys coenosus,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys coenosus,Pleuronichthys coenosus
species,Polypera greeni,Scorpaeniformes,Liparidae,Polypera,Polypera greeni,Polypera greeni
species,Prosopium williamsoni,Salmoniformes,Salmonidae,Prosopium,Prosopium williamsoni,Prosopium williamsoni
species,Rhacochilus vacca,Perciformes,Embiotocidae,Rhacochilus,Rhacochilus vacca,Rhacochilus vacca
species,Rhamphocottus richardsonii,Scorpaeniformes,Rhamphocottidae,Rhamphocottus,Rhamphocottus richardsonii,Rhamphocottus richardsonii
species,Rimicola muscarum,Gobiesociformes,Gobiesocidae,Rimicola,Rimicola muscarum,Rimicola muscarum
species,Ronquilus jordani,Perciformes,Bathymasteridae,Ronquilus,Ronquilus jordani,Ronquilus jordani
species,Salvelinus malma,Salmoniformes,Salmonidae,Salvelinus,Salvelinus malma,Salvelinus malma
species,Scomber japonicus,Perciformes,Scombridae,Scomber,Scomber japonicus,Scomber japonicus
species,Scorpaenichthys marmoratus,Scorpaeniformes,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus
genus,Sebastes2,Scorpaeniformes,Sebastidae,Sebastes,Sebastes2,"Sebastes - alutianus, alutus, elongatus, flavidus, melanistictus, melanops,  ruberrimus"
species,Sebastes entomelas,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,Sebastes entomelas
species,Sebastes mystinus,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,Sebastes mystinus
species,Sebastes nebulosus,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nebulosus,Sebastes nebulosus
species,Sebastes nigrocinctus,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nigrocinctus,Sebastes nigrocinctus
species,Synchirus gilli,Scorpaeniformes,Cottidae,Synchirus,Synchirus gilli,Synchirus gilli
species,Syngnathus leptorhynchus,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus leptorhynchus,Syngnathus leptorhynchus
species,Trichodon trichodon,Perciformes,Trichodontidae,Trichodon,Trichodon trichodon,Trichodon trichodon
genus,Gasterosteus aculeatus,Gasterosteiformes,Gasterosteidae,Gasterosteus,Gasterosteus aculeatus,Gasterosteus aculeatus
genus,Pholis1,Perciformes,Pholidae,Pholis,Pholis1,"Pholis clemensi, Pholis laeta"
genus,Pholis1,Perciformes,Pholidae,Pholis,Pholis1,"Pholis clemensi, Pholis ornata"
genus,Anoplarchus1,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus1,"Anoplarchus insignis, Anoplarchus purpurescens"
genus,Cottus1,Scorpaeniformes,Cottidae,Cottus,Cottus1,"Cottus aleuticus, Cottus cognatus"
genus,Hexagrammos1,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos1,"Hexagrammos lagocephalus, Hexagrammos octogrammus"
genus,Lepidopsetta1,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta1,"Lepidopsetta bilineata, Lepidopsetta polyxystra"
genus,Myoxocephalus1,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus1,"Myoxocephalus polyacanthocephalus, Myoxocephalus stelleri"
genus,Oligocottus1,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus1,"Oligocottus maculosus, Oligocottus snyderi"
genus,Sebastes1,Scorpaeniformes,Sebastidae,Sebastes,Sebastes1,"Sebastes caurinus, Sebastes maliger"
genus,Xiphister1,Perciformes,Stichaeidae,Xiphister,Xiphister1,"Xiphister atropurpureus, Xiphister mucosus"
family,Pleuronectidae1,Pleuronectiformes,Pleuronectidae,Pleuronectidae1,Pleuronectidae1,"Isopsetta isolepis, Parophrys vetulus, Psettichthys melanostictus"
