kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,gbif_query,query,taxo_query_level,higher_taxo_source
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis cyclopus,1,44,204,590,8627,2335959,5201449,5201449,risn,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Apodichthys,Apodichthys fucorum,1,44,204,587,8576,2390387,2390390,2390391,rogu,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos lagocephalus,1,44,204,590,8626,2336463,2336464,2336464,rogr,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Xiphister,Xiphister mucosus,1,44,204,587,8598,2394808,2394809,2394809,ropr,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Ascelichthys,Ascelichthys rhodorus,1,44,204,590,8621,2334020,2334021,2334021,rosc,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,Lepidopsetta bilineata,1,44,204,588,8611,5213905,5213939,5213939,roso,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis rutteri,1,44,204,590,8627,2335959,5201491,5201491,rtsn,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Pholidae,Pholis,Pholis ornata,1,44,204,587,8576,2390397,5210410,5210410,sagu,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Ammodytidae,Ammodytes,Ammodytes hexapterus,1,44,204,587,8487,2389989,2389995,2389995,sand,species,gbif
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Sardinops,Sardinops sagax,1,44,204,538,7332,2412582,2412583,2412583,sard,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus rimensis,1,44,204,590,8621,2333736,2333744,2333744,sasc,species,gbif
