site,year,month,day,location,depth,temp,salinity,ph,secchi
fan1,2019,8,2,b2,1,14,32.46,7.96,3.5
fan3,2019,8,3,a1,0,14.8,32.35,8.11,2.5
fan3,2019,8,3,b1,0,14.8,32.44,8.13,2.5
fan3,2019,8,3,b2,1,14.5,32.48,8.1,2.5
fan3,2019,8,3,c1,0,14.6,32.45,8.11,2.5
fan3,2019,8,3,c2,1,14.4,32.37,8.12,2.5
fan3,2019,8,3,c3,1.5,14.4,32.47,8.1,2.5
fan3,2019,8,3,d1,0,15,32.54,7.99,2.5
fan3,2019,8,3,d2,1,14.3,32.47,8.02,2.5
fan3,2019,8,3,d3,2.5,14.2,32.32,8.07,2.5
fan1,2019,8,3,c1,0,14,32.48,7.14,3.5
fan1,2019,8,3,c2,1,14,32.46,7.95,3.5
fan1,2019,8,3,c3,1.5,14,32.45,7.95,3.5
fan1,2019,8,3,d1,0,14,31.32,7.9,3.5
fan1,2019,8,3,d2,1,14,32.46,7.92,3.5
fan1,2019,8,3,d3,3.5,13.9,30,7.96,3.5
koe3,2019,8,4,a1,0,15.1,16.97,7.89,6
koe3,2019,8,4,b1,0,15.1,16.33,7.85,6
koe3,2019,8,4,b2,1,14.6,16.61,7.84,6
