PHYIDENT,REGION,SECTION,UNIT,SUBUNIT,ZONE,COMPONENT,BAR,BMU,BRE,CHB,CHB2,CHB3,CHB4,CHB5,CHB6,CHB7,DIA,FUC,GRA,HAL,HAL2,HAL3,HAL4,HAL5,HAL6,HAL7,MAC,MUS,NER,OYS,RED,RED2,RED3,RED4,RED5,RED6,RED7,SAL,SBR,SBR2,SBR3,SBR4,SBR5,SBR6,SBR7,SED,SUR,ULV,URC,VER,ZOS,FEAT_LEN,OBJECTID,SHAPE
08/08/0907/00,"8","8","907",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,177.2441,117187,
08/08/0907/00,"8","8","907",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,205.2721,117195,
08/08/0907/00,"8","8","907",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,205.2721,117189,
08/08/0907/00,"8","8","907",0,B,3,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,C,,,205.2721,117198,
08/08/0907/00,"8","8","907",0,B,1,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.2721,117192,
08/08/0907/00,"8","8","907",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,316.5208,117194,
08/08/0907/00,"8","8","907",0,B,1,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.5208,117191,
08/08/0907/00,"8","8","907",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,316.5208,117188,
08/08/0907/00,"8","8","907",0,B,3,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,C,,,316.5208,117197,
08/08/0906/00,"8","8","906",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,481.6251,117183,
08/08/0906/00,"8","8","906",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,481.6251,117185,
08/08/0908/00,"8","8","908",0,B,1,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.8636,117200,
08/08/0908/00,"8","8","908",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.8636,117201,
08/08/0908/00,"8","8","908",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,564.8636,117199,
08/08/0908/00,"8","8","908",0,B,3,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,P,,C,,,564.8636,117202,
08/08/0910/00,"8","8","910",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,P,,C,,,282.7842,117226,
08/08/0910/00,"8","8","910",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,W,,282.7842,117211,
08/08/0910/00,"8","8","910",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,282.7842,117221,
08/08/0910/00,"8","8","910",0,B,1,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,282.7842,117216,
08/08/0910/00,"8","8","910",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,P,,C,,,478.7848,117225,
08/08/0910/00,"8","8","910",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,W,,478.7848,117210,
08/08/0910/00,"8","8","910",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,478.7848,117220,
08/08/0910/00,"8","8","910",0,B,1,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,478.7848,117215,
08/08/0910/00,"8","8","910",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,377.6242,117218,
08/08/0910/00,"8","8","910",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,W,,377.6242,117208,
08/08/0910/00,"8","8","910",0,B,1,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,377.6242,117213,
08/08/0910/00,"8","8","910",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,P,,C,,,377.6242,117223,
08/08/0910/00,"8","8","910",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,P,,C,,,196.2902,117224,
08/08/0910/00,"8","8","910",0,B,1,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,196.2902,117214,
08/08/0910/00,"8","8","910",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,W,,196.2902,117209,
08/08/0910/00,"8","8","910",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,196.2902,117219,
08/08/0900/00,"8","8","900",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,218.5230,117102,
08/08/0900/00,"8","8","900",0,B,3,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,P,,,,,,P,218.5230,117110,
08/08/0901/00,"8","8","901",0,B,3,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,P,,,,,,P,515.0974,117139,
08/08/0901/00,"8","8","901",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,515.0974,117130,
08/08/0901/00,"8","8","901",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.0974,117121,
08/08/0901/00,"8","8","901",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,515.0974,117112,
08/08/0902/00,"8","8","902",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,210.3811,117158,
08/08/0902/00,"8","8","902",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,210.3811,117148,
08/08/0902/00,"8","8","902",0,B,3,,,,,,,,,,,C,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,P,,,,,,P,210.3811,117163,
08/08/0902/00,"8","8","902",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,210.3811,117153,
08/08/0902/00,"8","8","902",0,B,3,,,,,,,,,,,C,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,P,,,,,,P,221.1810,117162,
08/08/0902/00,"8","8","902",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,221.1810,117147,
08/08/0902/00,"8","8","902",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,221.1810,117152,
08/08/0902/00,"8","8","902",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,221.1810,117157,
08/08/0899/00,"8","8","899",0,B,3,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,P,,,,,,P,959.2781,117078,
08/08/0899/00,"8","8","899",0,B,1,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,959.2781,117076,
08/08/0899/00,"8","8","899",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,959.2781,117077,
08/08/0899/00,"8","8","899",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,959.2781,117075,
08/08/0902/00,"8","8","902",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,381.4877,117159,
08/08/0902/00,"8","8","902",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,381.4877,117154,
08/08/0902/00,"8","8","902",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,381.4877,117149,
08/08/0902/00,"8","8","902",0,B,3,,,,,,,,,,,C,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,P,,,,,,P,381.4877,117164,
08/08/0902/00,"8","8","902",0,B,3,,,,,,,,,,,C,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,P,,,,,,P,152.5837,117166,
08/08/0902/00,"8","8","902",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,152.5837,117151,
08/08/0902/00,"8","8","902",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,152.5837,117156,
08/08/0902/00,"8","8","902",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,152.5837,117161,
08/08/0903/00,"8","8","903",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,1082.8527,117169,
08/08/0903/00,"8","8","903",0,B,3,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,1082.8527,117170,
08/08/0903/00,"8","8","903",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082.8527,117168,
08/08/0903/00,"8","8","903",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,N,,1082.8527,117167,
08/08/0902/00,"8","8","902",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,325.6706,117150,
08/08/0902/00,"8","8","902",0,B,1,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,325.6706,117155,
08/08/0902/00,"8","8","902",0,B,3,,,,,,,,,,,C,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,P,,,,,,P,325.6706,117165,
08/08/0902/00,"8","8","902",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,325.6706,117160,
